model,attack_family,attack_type,raw_detected_windows,confirmed_windows,total_windows,detected_events,total_events,raw_detection_rate,detection_rate,event_detection_rate
Adaptive Fisher-Weighted Z,mitm,arp-spoofing,17,15,150,3,10,0.11333333333333333,0.1,0.3
Adaptive Fisher-Weighted Z,web,backdoor-upload,23,22,32,1,1,0.71875,0.6875,1.0
Adaptive Fisher-Weighted Z,bruteforce,dictionary-ssh,18,17,83,1,3,0.21686746987951808,0.20481927710843373,0.3333333333333333
Adaptive Fisher-Weighted Z,dos,http-flood-port-554,9,8,9,1,1,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,slowloris-port-80,24,22,27,3,3,0.8888888888888888,0.8148148148148148,1.0
Adaptive Fisher-Weighted Z,dos,slowloris-port-80,17,16,27,2,3,0.6296296296296297,0.5925925925925926,0.6666666666666666
Adaptive Fisher-Weighted Z,recon,ping-sweep,8,6,163,3,20,0.049079754601226995,0.03680981595092025,0.15
Adaptive Fisher-Weighted Z,dos,slowloris-port-8000,5,5,9,1,1,0.5555555555555556,0.5555555555555556,1.0
Adaptive Fisher-Weighted Z,dos,slowloris-port-554,7,7,9,1,1,0.7777777777777778,0.7777777777777778,1.0
Adaptive Fisher-Weighted Z,mitm,impersonation,0,0,56,0,7,0.0,0.0,0.0
Adaptive Fisher-Weighted Z,dos,http-flood-port-443,6,7,9,1,1,0.6666666666666666,0.7777777777777778,1.0
